,species,BMR_W,Reference,Comments
1,Calidris canutus,0.88,Piersma et al 1995,NA
2,Calidris tenuirostris,1.54,Battley et al 2001,NA
3,Calidris tenuirostris,0.97,Battley et al 2001,NA
4,Ficedula albicollis,0.276,Moreno 1991,recalculated as KJ/86.4
5,Ficedula hypoleuca,0.23,Ward et al 2004,NA
6,Ficedula hypoleuca,0.25,Ward et al 2004,NA
7,Ficedula hypoleuca,0.21,Ward et al 2004,NA
8,Fringilla coelebs,0.373,Møller 2009,NA
9,Fringilla montifringilla,0.485,McKechnie 2008,NA
10,Fringilla montifringilla,0.546,McKechnie 2008,NA
11,Junco hyemalis,0.019,McKechnie 2008,NA
12,Junco hyemalis,0.018,McKechnie 2008,NA
13,Junco hyemalis,0.365,McKechnie 2008,NA
14,Junco hyemalis,0.476,McKechnie 2008,NA
15,Loxia curvirostra,0.6,Møller 2009,NA
16,Parus cristatus,0.47,Møller 2008,NA
17,Passer domesticus,0.28,Møller 2009,NA
18,Passer montanus,0.405,Møller 2009,NA
19,Phylloscopus collybita,0.165,Møller 2009,NA
20,Phylloscopus trochilus,0.208,Møller 2009,NA
21,Saxicola torquata rubicola,0.256,Møller 2009,NA
22,Sturnus vulgaris,0.877,Møller 2009,NA
23,Sylvia atricapilla,0.413,Møller 2009,NA
24,Sylvia borin,0.416,Møller 2009,NA
