,species,survival,Reference,Comments
1,Calidris canutus,0.78,Rakhimberdiev et al. 2015,
2,Calidris canutus,0.81,Rakhimberdiev et al. 2015,
3,Calidris canutus,0.91,Rakhimberdiev et al. 2015,
4,Calidris tenuirostris,0.9,Piersma et al 2016,
5,Ficedula albicollis,0.45,Moeller 2008,
6,Ficedula hypoleuca,0.2857,Sanz 2001,"females, Siete Picos"
7,Ficedula hypoleuca,0.4531,Sanz 2001,"females, Siete Picos"
8,Ficedula hypoleuca,0.1354,Sanz 2001,"females, Siete Picos"
9,Ficedula hypoleuca,0.3889,Sanz 2001,"females, Siete Picos"
10,Ficedula hypoleuca,0.5,Sanz 2001,"females, Valsain"
11,Ficedula hypoleuca,0.5037,Sanz 2001,"females, Valsain"
12,Ficedula hypoleuca,0.5316,Sanz 2001,"females, Valsain"
13,Ficedula hypoleuca,0.4777,Sanz 2001,"females, Valsain"
14,Ficedula hypoleuca,0.4454,Sanz 2001,"females, Valsain"
15,Ficedula hypoleuca,0.5894,Sanz 2001,"females, Valsain"
16,Ficedula hypoleuca,0.3963,Sanz 2001,"females, Valsain"
17,Ficedula hypoleuca,0.7233,Sanz 2001,"females, Valsain"
18,Ficedula hypoleuca,0.499,Moeller 2008,
19,Fringilla coelebs,0.6,Siriwardena et al. 1999,
20,Fringilla coelebs,0.597,Siriwardena et al 1998,increasing CBC trend
21,Fringilla coelebs,0.532,Siriwardena et al 1998,stable CBC trend
22,Fringilla montifringilla,0.57,Desholm 2009,together with chuffinch
23,Junco hyemalis,0.49,Moeller 2008,
24,Loxia curvirostra,0.45,Alonso & Arizaga 2013,males with wing length 99 mm (most common)
25,Loxia curvirostra,0.25,Alonso & Arizaga 2013,females with wing length 94 - 96 mm (most common)
26,Loxia curvirostra,0.46,Senar et al. 1993,
27,Parus cristatus,0.67,Ekman & Askenmo 1986,
28,Parus cristatus,0.537,Moeller 2008,
29,Passer domesticus,0.55,Siriwardena et al. 1999,
30,Passer domesticus,0.582,Siriwardena et al 1998,stable CBC trend
31,Passer domesticus,0.5,Siriwardena et al 1998,decreasing CBC trend
32,Phylloscopus collybita,0.4,Johnston et al. 2016,France
33,Phylloscopus collybita,0.28,Johnston et al. 2016,Netherlands
34,Phylloscopus collybita,0.27,Johnston et al. 2016,UK South
35,Phylloscopus collybita,0.27,Johnston et al. 2016,UK North
36,Phylloscopus collybita,0.189,Siriwardena et al 1998,increasing CBC trend
37,Phylloscopus collybita,0.375,Siriwardena et al 1998,stable CBC trend
38,Phylloscopus collybita,0.335,Siriwardena et al 1998,decreasing CBC trend
39,Phylloscopus trochilus,0.46,Morrison et al 2016,northwest
40,Phylloscopus trochilus,0.43,Morrison et al 2016,southeast
41,Phylloscopus trochilus,0.3,Silverin et al. 1997,"southern Sweden, apparent survival, no survival analysis"
42,Phylloscopus trochilus,0.27,Silverin et al. 1997,"northern Sweden, apparent survival, no survival analysis"
43,Phylloscopus trochilus,0.46,Johnston et al. 2016,France
44,Phylloscopus trochilus,0.36,Johnston et al. 2016,Netherlands
45,Phylloscopus trochilus,0.32,Johnston et al. 2016,UK South
46,Phylloscopus trochilus,0.34,Johnston et al. 2016,UK North
47,Phylloscopus trochilus,0.326,Siriwardena et al 1998,increasing CBC trend
48,Phylloscopus trochilus,0.271,Siriwardena et al 1998,stable CBC trend
49,Phylloscopus trochilus,0.339,Siriwardena et al 1998,decreasing CBC trend
50,Saxicola torquata rubicola,0.48,Mueller et al 2005,
51,Sturnus vulgaris,0.75,Freeman et al 2007,
52,Sturnus vulgaris,0.69,Siriwardena et al 1998,stable CBC trend
53,Sturnus vulgaris,0.806,Siriwardena et al 1998,decreasing CBC trend
54,Sturnus vulgaris,0.47,Moeller 2008,
55,Sylvia atricapilla,0.48,Johnston et al. 2016,Catalonia
56,Sylvia atricapilla,0.48,Johnston et al. 2016,France
57,Sylvia atricapilla,0.37,Johnston et al. 2016,Netherlands
58,Sylvia atricapilla,0.29,Johnston et al. 2016,UK South
59,Sylvia atricapilla,0.33,Johnston et al. 2016,UK North
60,Sylvia atricapilla,0.44,Siriwardena et al 1998,increasing CBC trend
61,Sylvia atricapilla,0.411,Siriwardena et al 1998,stable CBC trend
62,Sylvia borin,0.2,Johnston et al. 2016,Catalonia
63,Sylvia borin,0.49,Johnston et al. 2016,France
64,Sylvia borin,0.45,Johnston et al. 2016,Netherlands
65,Sylvia borin,0.46,Johnston et al. 2016,UK South
66,Sylvia borin,0.42,Johnston et al. 2016,UK North
67,Sylvia borin,0.5,Siriwardena et al 1998,
